年月,地區,卡數,總交易筆數,總交易金額[新臺幣],跨境交易筆數,跨境交易金額[新臺幣]
201511,10016000,32835,132588,297404151,2613,9823203
201511,09020000,25417,100808,249120697,2121,6970270
201511,09007000,3837,15448,38326608,525,1266440
201512,63000000,3055208,14872334,43211858027,694237,3736986038
201512,65000000,3630827,16015001,38443116812,564097,2391760359
201512,68000000,1564991,6778617,16203300564,214332,920792409
201512,10004000,397289,1911431,4536586611,62051,257351680
201512,10018000,422665,2049040,5043911356,72784,306795709
201512,10005000,276041,1185572,2550894590,25796,96584978
201512,66000000,2006052,8813296,21629937535,262610,1289986468
201512,10007000,575196,2377159,5458435843,54822,224169304
201512,10008000,194294,795096,1712174410,16401,64099677
201512,10009000,227825,927445,1989407316,18240,55629459
201512,10010000,177450,709297,1486923464,13857,55261379
201512,10020000,172527,694866,1608550164,17327,71429036
201512,67000000,1184442,4989007,10677404414,129737,515466531
201512,64000000,1943209,8124650,18570882074,212181,875550412
201512,10013000,334048,1334151,2995169037,26970,105153662
201512,10017000,268619,1131176,2563249626,32795,128747184
201512,10002000,198481,852538,1886072816,21981,73770103
201512,10015000,137632,609216,1313630595,13661,55877533
201512,10014000,73643,314445,664844171,5905,20148418
201512,10016000,34142,148189,336523775,3028,9521499
201512,09020000,26184,111581,278336285,2226,7241610
201512,09007000,3946,17275,39692231,550,1122866
201601,63000000,3026932,14602554,42962889091,691633,3713467340
201601,65000000,3605216,15809735,38141408167,560838,2334223467
201601,68000000,1557540,6810138,16394085863,214357,892954461
201601,10004000,389950,1829162,4325906199,61400,267948243
201601,10018000,413539,1969449,4757969495,75261,304551688
201601,10005000,273629,1190761,2520529400,26164,96228736
201601,66000000,1981316,8806026,21912182916,261139,1175297222
201601,10007000,570709,2401497,5479823213,55613,226346470
201601,10008000,192449,803220,1726735955,17021,70605907
201601,10009000,228236,946114,2053263457,19205,68549635
